#individual,#leaf,leaf_length_cm,leaf_width_cm,leaf_size_cm2,Tree height
1,1,13.3,2.4,31.92,21.2
1,2,11.8,1.7,20.06,21.2
1,3,10.9,1.8,19.62,21.2
1,4,12,1.4,16.8,21.2
1,5,9.6,1.5,14.4,21.2
1,6,9.8,1.4,13.72,21.2
1,7,9.6,1.7,16.32,21.2
1,8,8.9,1.2,10.68,21.2
1,9,6.1,1.8,10.98,21.2
1,10,5.6,0.7,3.92,21.2
two,1,12.6,1.4,17.64,22.2
2,2,11.3,1.2,13.56,22.2
2,3,8.4,0.8,6.72,22.2
2,4,9.5,1.3,12.35,22.2
2,5,10.5,1.1,11.55,22.2
2,6,9.9,1,9.9,22.2
2,7,10,1,10.09,22.2
2,8,8.7,1,8.7,22.2
2,9,11.4,1.5,17.1,22.2
2,10,10,1.1,11.99,22.2
3,1,11.3,1.4,15.82,23.2
3,2,14.3,1.8,25.74,23.2
3,3,13.1,1.9,24.89,23.2
3,4,14.8,1.9,28.12,23.2
3,5,11.1,1.4,15.54,23.2
3,6,10.9,1.4,15.26,23.2
3,7,11.3,1.2,13.56,23.2
3,8,8.8,1.2,10.56,23.2
3,9,10.1,1.1,11.11,23.2
3,10,10.2,1.2,12.24,23.2
4,1,9.6,1.5,14.4,24.2
4,2,8.8,1.3,11.44,24.2
4,3,9.2,1.5,13.8,24.2
4,4,9.3,1.6,14.88,24.2
4,5,11.3,1.9,21.47,24.2
4,6,10,1.8,18.01,24.2
4,7,10.6,1.4,14.84,24.2
4,8,10.3,1.7,17.51,24.2
4,9,9.4,1.6,15.04,24.2
4,10,13.3,1.8,23.94,24.2
5,1,13.1,1.6,20.96,25.2
5,2,12.6,1.8,22.68,25.2
5,3,12.4,1.3,16.12,25.2
5,4,7.8,1.5,11.7,25.2
5,5,7.5,1.6,12,25.2
5,6,9.6,1.3,12.48,25.2
5,7,9.8,7,68.6,25.2
5,8,11.5,1.8,20.7,25.2
5,9,9.8,7,68.6,25.2
5,10,11.5,1.8,20.7,25.2
